,id,url,question,answer,long_answer,final_answer
935,935,http://www.freebase.com/view/en/fairfield_california,what to do at fairfield ca?,Fairfield Center for Creative Arts,"Fairfield, California is a city in the San Francisco Bay Area with many attractions and activities for visitors. Here are some things you can do:
* Visit the Jelly Belly factory and take a tour of the facilities where jelly beans are made. You can sample different flavors of jelly beans and even make your own mix!
* Check out the Solano County Government Center Plaza, which has public art installations and hosts events like concerts and festivals. It's right next to the local farmer's market on Saturdays.
* Take a hike or bike ride through Rockville Hills Regional Park. There are trails that go up into the hills with views of the surrounding area, as well as a reservoir and picnic areas.
* Shop at the Suisun Valley Premium Outlets. This open-air mall features high-end retailers offering discounted prices on designer clothing, shoes, and accessories.","Fairfield Center for Creative Arts Fairfield, California is a city in the San Francisco Bay Area with many attractions and activities for visitors. Here are some things you can do:
* Visit the Jelly Belly factory and take a tour of the facilities where jelly beans are made. You can sample different flavors of jelly beans and even make your own mix!
* Check out the Solano County Government Center Plaza, which has public art installations and hosts events like concerts and festivals. It's right next to the local farmer's market on Saturdays.
* Take a hike or bike ride through Rockville Hills Regional Park. There are trails that go up into the hills with views of the surrounding area, as well as a reservoir and picnic areas.
* Shop at the Suisun Valley Premium Outlets. This open-air mall features high-end retailers offering discounted prices on designer clothing, shoes, and accessories."
936,936,http://www.freebase.com/view/en/richard_nixon,where president nixon was born?,Yorba Linda,"Richard Nixon, the 37th President of the United States, was born in a small farmhouse near Yorba Linda, California on January 9, 1913.","Yorba Linda Richard Nixon, the 37th President of the United States, was born in a small farmhouse near Yorba Linda, California on January 9, 1913."
937,937,http://www.freebase.com/view/en/thailand,what currency does thailand accept?,Thai baht,"Thailand accepts several currencies including the Baht, US Dollar and Euro","Thai baht Thailand accepts several currencies including the Baht, US Dollar and Euro"
938,938,http://www.freebase.com/view/en/eli_whitney,what else did eli whitney invent?,Interchangeable parts,"Eli Whitney is known for his invention of the cotton gin, but he also made contributions to other fields as well. Some of his notable inventions and innovations include:

1. Musketry system: A standardized system for producing interchangeable parts for firearms that was used by the US government during the War of 1812. This helped to increase the speed and efficiency of manufacturing muskets and contributed to the development of mass production techniques that would later be applied to the industrial revolution.

2. Waterfront improvements: In addition to inventing the cotton gin, Eli Whitney designed a number of canal-building projects and harbor improvements that facilitated shipping and commerce along sea and inland trade routes.

3. Steamboat engine: Although not successful at this time, he worked on designs that showed promise in developing a more efficient Newcomen steam engine that could be adapted to power steamships or boats along rivers or canals.","Interchangeable parts Eli Whitney is known for his invention of the cotton gin, but he also made contributions to other fields as well. Some of his notable inventions and innovations include:

1. Musketry system: A standardized system for producing interchangeable parts for firearms that was used by the US government during the War of 1812. This helped to increase the speed and efficiency of manufacturing muskets and contributed to the development of mass production techniques that would later be applied to the industrial revolution.

2. Waterfront improvements: In addition to inventing the cotton gin, Eli Whitney designed a number of canal-building projects and harbor improvements that facilitated shipping and commerce along sea and inland trade routes.

3. Steamboat engine: Although not successful at this time, he worked on designs that showed promise in developing a more efficient Newcomen steam engine that could be adapted to power steamships or boats along rivers or canals."
939,939,http://www.freebase.com/view/en/collegehumor,who founded collegehumor?,Josh Abramson,Sir Francis Burdett,Josh Abramson Sir Francis Burdett
940,940,http://www.freebase.com/view/en/barack_obama,where did barack obama attend school?,Occidental College,"Barack Obama is an American politician and attorney who served as the 44th President of the United States from 2009 to 2017. He was born on August 4, 1961 in Honolulu, Hawaii to a mother from Kansas and a father from Kenya.

Obama attended elementary schools in Indonesia and in Hawaii, before returning with his family to Honolulu's Punahou School in fifth grade. After graduating from high school in 1979, he moved to Los Angeles and attended Occidental College for two years prior to transferring to Columbia University in New York City, where he majored in political science with international relations concentrations; after four semesters in New York, he transferred back into the honors program at Occidental for academic reasons","Occidental College Barack Obama is an American politician and attorney who served as the 44th President of the United States from 2009 to 2017. He was born on August 4, 1961 in Honolulu, Hawaii to a mother from Kansas and a father from Kenya.

Obama attended elementary schools in Indonesia and in Hawaii, before returning with his family to Honolulu's Punahou School in fifth grade. After graduating from high school in 1979, he moved to Los Angeles and attended Occidental College for two years prior to transferring to Columbia University in New York City, where he majored in political science with international relations concentrations; after four semesters in New York, he transferred back into the honors program at Occidental for academic reasons"
941,941,http://www.freebase.com/view/en/albert_einstein,what jobs did albert einstein have?,Writer,Albert Einstein was a theoretical physicist.,Writer Albert Einstein was a theoretical physicist.
942,942,http://www.freebase.com/view/en/sydney,where to travel around sydney?,The Rocks,"I'm sorry, but could you rephrase the question. Are you asking about a person named ""Sydney"" or are you referring to a city in Australia?","The Rocks I'm sorry, but could you rephrase the question. Are you asking about a person named ""Sydney"" or are you referring to a city in Australia?"
943,943,http://www.freebase.com/view/en/michael_jackson,what are the names of michael jackson movies?,Michael Jackson: The Trial and Triumph of the King of Pop,Moonwalker and Captain EO,Michael Jackson: The Trial and Triumph of the King of Pop Moonwalker and Captain EO
944,944,http://www.freebase.com/view/en/oceania,what are the islands of oceania?,Northern Mariana Islands,"Australia, New Zealand","Northern Mariana Islands Australia, New Zealand"
945,945,http://www.freebase.com/view/en/illinois,what timezone is illinois on?,Central Time Zone,"Illinois, the 6th largest state by area in the United States at 217.854 square kilometers or approximately 85 million acres, is entirely within Central Standard Time (CST), and observes Daylight Saving Time (DST).","Central Time Zone Illinois, the 6th largest state by area in the United States at 217.854 square kilometers or approximately 85 million acres, is entirely within Central Standard Time (CST), and observes Daylight Saving Time (DST)."
946,946,http://www.freebase.com/view/en/france,what is the currency in france?,CFP franc,"As of February 2023, the currency used by France was and still is Euro (€).","CFP franc As of February 2023, the currency used by France was and still is Euro (€)."
947,947,http://www.freebase.com/view/en/hsbc_bank_usa,where is the head office of hsbc bank?,New York City,"The headquarters of HSBC Bank are located in London, England.","New York City The headquarters of HSBC Bank are located in London, England."
948,948,http://www.freebase.com/view/en/england,what is the currency in england 2012?,UK £,Not Found,UK £ Not Found
949,949,http://www.freebase.com/view/en/martin_cooper,where was martin cooper from?,Chicago,"Martin Cooper, the character in ""28 Days Later,"" is a fictional character and there is no specific information about his background or origins in the movie. He is portrayed as a bicycle courier who becomes infected with the rage virus that causes zombie-like behavior in humans.","Chicago Martin Cooper, the character in ""28 Days Later,"" is a fictional character and there is no specific information about his background or origins in the movie. He is portrayed as a bicycle courier who becomes infected with the rage virus that causes zombie-like behavior in humans."
950,950,http://www.freebase.com/view/en/spain,where is spain exactly located?,Iberian Peninsula,"Spain, officially known as the Kingdom of Spain (Spanish: Reino de España), is a country mostly located on the Iberian Peninsula in southwestern Europe.
* What are the colors and languages of Spanish flag?","Iberian Peninsula Spain, officially known as the Kingdom of Spain (Spanish: Reino de España), is a country mostly located on the Iberian Peninsula in southwestern Europe.
* What are the colors and languages of Spanish flag?"
951,951,http://www.freebase.com/view/en/china,what is the currency name of china?,Renminbi,"The official currency of China is the Chinese Yuan (¥). It was renamed from its previous title ""Renminbi"" in 2019.","Renminbi The official currency of China is the Chinese Yuan (¥). It was renamed from its previous title ""Renminbi"" in 2019."
952,952,http://www.freebase.com/view/en/charlie_hunnam,what movies did charlie hunnam play in?,Green Street,"Charlie Hunnam played various roles in different movies. Some of the notable ones include:
1. Rory in ""Green Street"" (2005)
2. Jax Teller in ""Sons of Anarchy"" TV series (2008-14)
3. Julian Allen in ""Crimson Peak"" (2015)
4. Percy Fawcett in ""The Lost City of Gold"" (2016)","Green Street Charlie Hunnam played various roles in different movies. Some of the notable ones include:
1. Rory in ""Green Street"" (2005)
2. Jax Teller in ""Sons of Anarchy"" TV series (2008-14)
3. Julian Allen in ""Crimson Peak"" (2015)
4. Percy Fawcett in ""The Lost City of Gold"" (2016)"
953,953,http://www.freebase.com/view/en/italy,what kind of government does italy have?,Constitutional republic,The Italian Republic.,Constitutional republic The Italian Republic.
954,954,http://www.freebase.com/view/en/athens,what medium is the school of athens?,Athens,Not Found,Athens Not Found
955,955,http://www.freebase.com/view/en/michael_jordan,what year michael jordan came in the nba?,1984 NBA Draft,201,1984 NBA Draft 201
956,956,http://www.freebase.com/view/en/florida_marlins,what year did florida marlins win the world series?,2003 World Series,Not Found,2003 World Series Not Found
957,957,http://www.freebase.com/view/en/marlee_matlin,what movie did marlee matlin won an academy award for?,Children of a Lesser God,Marlee Matlin was in the film Children of a Lesser God.  This is where she used sign language to convey her role instead of using spoken dialogue like other actresses do.,Children of a Lesser God Marlee Matlin was in the film Children of a Lesser God.  This is where she used sign language to convey her role instead of using spoken dialogue like other actresses do.
958,958,http://www.freebase.com/view/en/leann_rimes,who is leann rimes with now?,Eddie Cibrian,"In early 2023, LeAnn Rimes's husband is her former backup singer and guitarist, Eddie Gallardi. They have been married since 2011.","Eddie Cibrian In early 2023, LeAnn Rimes's husband is her former backup singer and guitarist, Eddie Gallardi. They have been married since 2011."
959,959,http://www.freebase.com/view/en/china,who is the current leader of china today?,Xi Jinping,"As of my knowledge cutoff in 2021, Xi Jinping was the President and paramount leader of China.","Xi Jinping As of my knowledge cutoff in 2021, Xi Jinping was the President and paramount leader of China."
960,960,http://www.freebase.com/view/en/north_dakota,where north dakota located?,Midwestern United States,"North Dakota is a state in the midwestern region of the United States. It is bordered by Canada to the north, Minnesota to the east, South Dakota to the south, Montana to the west, and Idaho","Midwestern United States North Dakota is a state in the midwestern region of the United States. It is bordered by Canada to the north, Minnesota to the east, South Dakota to the south, Montana to the west, and Idaho"
961,961,http://www.freebase.com/view/en/elizabeth_ii_of_the_united_kingdom,what countries did queen elizabeth ii rule?,United Kingdom,"Queen Elizabeth II ruled as the monarch of several countries, including:

* United Kingdom (UK) - which includes England, Scotland, Wales and Northern Ireland. She has been the longest reigning UK monarch in history, serving since 6 February 1952 until present day.
* Canada - she served as the head of state from her accession to throne until her formal retirement from that role on 4 October 2013. The queen is still represented in Canada by a Governor General and provincial lieutenant-governors who are appointed on behalf of the sovereign and serve constitutionally limited terms and may exercise some royal prerogatives when required.","United Kingdom Queen Elizabeth II ruled as the monarch of several countries, including:

* United Kingdom (UK) - which includes England, Scotland, Wales and Northern Ireland. She has been the longest reigning UK monarch in history, serving since 6 February 1952 until present day.
* Canada - she served as the head of state from her accession to throne until her formal retirement from that role on 4 October 2013. The queen is still represented in Canada by a Governor General and provincial lieutenant-governors who are appointed on behalf of the sovereign and serve constitutionally limited terms and may exercise some royal prerogatives when required."
962,962,http://www.freebase.com/view/en/forrest_gump,who played forrest gump as a kid?,Michael Connor Humphreys,Tom Hanks,Michael Connor Humphreys Tom Hanks
963,963,http://www.freebase.com/view/en/battle_of_vicksburg,where was the battle of vicksburg held?,Warren County,Vicksburg is in central Mississippi. It's south west of Memphis Tennessee and east-northeast of Dallas Texas,Warren County Vicksburg is in central Mississippi. It's south west of Memphis Tennessee and east-northeast of Dallas Texas
964,964,http://www.freebase.com/view/en/henri_matisse,what kind of artist is henri matisse?,Sculpture,"Henri Matisse was a French painter, draugsman and printmaker. He led the Fauve movement in the early 20th century and became known for his use of color and simple forms, often depicting nudes, landscapes, and still lifes.","Sculpture Henri Matisse was a French painter, draugsman and printmaker. He led the Fauve movement in the early 20th century and became known for his use of color and simple forms, often depicting nudes, landscapes, and still lifes."
965,965,http://www.freebase.com/view/en/17_kids_and_counting,what are the duggars kids names and ages?,Jana Duggar,"The Duggar family has 19 children. Their names and ages as of February 2023 are:
* Joshua (age 36)
* Jana (age 30)
* John-David (age 29)
* Jill (age 28)
* Jessa (age 27)
* Jinger (age 25)
* Joy-Anna (age 24)
* Jedidiah (age 22)
* Jeremiah (age 21)
* Josie (age 19)
* Justin (age 18)
* Jackson (age 16)
* Johannah (age 14)
* Jennifer (age 13)
* Jordyn-Grace (age 12)
* Joshuas (age 11)
* Maryella Hope (age 10)","Jana Duggar The Duggar family has 19 children. Their names and ages as of February 2023 are:
* Joshua (age 36)
* Jana (age 30)
* John-David (age 29)
* Jill (age 28)
* Jessa (age 27)
* Jinger (age 25)
* Joy-Anna (age 24)
* Jedidiah (age 22)
* Jeremiah (age 21)
* Josie (age 19)
* Justin (age 18)
* Jackson (age 16)
* Johannah (age 14)
* Jennifer (age 13)
* Jordyn-Grace (age 12)
* Joshuas (age 11)
* Maryella Hope (age 10)"
966,966,http://www.freebase.com/view/en/ben_stiller,where does ben stiller live in ny?,New York,"As of my knowledge cutoff date of September 2021, Dr. Still lived and worked in New York City (NYC). He passed away on July 4th, 1998 at the age of 75, but it's unknown if he died there or somewhere else as I don't have access to real-time information.","New York As of my knowledge cutoff date of September 2021, Dr. Still lived and worked in New York City (NYC). He passed away on July 4th, 1998 at the age of 75, but it's unknown if he died there or somewhere else as I don't have access to real-time information."
967,967,http://www.freebase.com/view/en/mexico,what is the official language in mexico?,Spanish Language,The official language of Mexico is Spanish.,Spanish Language The official language of Mexico is Spanish.
968,968,http://www.freebase.com/view/en/ulysses_s_grant,what wars did ulysses s grant served in?,Grant rises in the West.,"U.S. Grant was a Civil War hero and he went on to become the 18th president of the United States
Ulysses S. Grant, or USG as I will abbreviate him for brevity, was born April 27, 1822, in Point Pleasant, Ohio, the son of an old-stock American family with farming roots going back several generations — which is important because throughout his life, USG often described himself not as having come from humble origins but as being poor farmer stock; it’s interesting to keep that self-descriptive identity consistent across all decades, isn’t it?) When the Civil War began, there were few military men better trained than this man who had graduated second out of a class of 39 at West Point. He would rise fastest among his peers (after President Lincoln), leading the Union Army during its darkest days through a swampy wilderness, under the baking sun of Cairo and St Louis when it seemed the cause might be lost, then to Memphis where it wasn’t even safe to land the boat carrying General Grant without being shot full of holes by Confederates lurking about, and eventually into Vicksburg in May 1863 where six months prior to arriving General GH Thomas called up “The Ordeal” (the battle itself) “a siege.” The tide turned toward their favor following such a brutally bloody climax: henceforth known as Missionary Ridge near Chattanooga November the next year where they took Lookout Mountain and Mission Ridge, followed by the Battle of Nashville in December 1864 against Hood before finally ending his service, retiring to Galena, Illinois — though he found time later to serve under three presidents as peace commissioner to Mexico where he negotiated an end to our small war there (it didn’t stick). In between these stints serving America abroad & at home (wherever there needed commanding), he also found himself appointed Commanding General of the Armies of the United States and performed duties both civilian and otherwise necessary enough to secure another election victory and term of office as the sitting president while overseeing Reconstruction after the civil war ended!","Grant rises in the West. U.S. Grant was a Civil War hero and he went on to become the 18th president of the United States
Ulysses S. Grant, or USG as I will abbreviate him for brevity, was born April 27, 1822, in Point Pleasant, Ohio, the son of an old-stock American family with farming roots going back several generations — which is important because throughout his life, USG often described himself not as having come from humble origins but as being poor farmer stock; it’s interesting to keep that self-descriptive identity consistent across all decades, isn’t it?) When the Civil War began, there were few military men better trained than this man who had graduated second out of a class of 39 at West Point. He would rise fastest among his peers (after President Lincoln), leading the Union Army during its darkest days through a swampy wilderness, under the baking sun of Cairo and St Louis when it seemed the cause might be lost, then to Memphis where it wasn’t even safe to land the boat carrying General Grant without being shot full of holes by Confederates lurking about, and eventually into Vicksburg in May 1863 where six months prior to arriving General GH Thomas called up “The Ordeal” (the battle itself) “a siege.” The tide turned toward their favor following such a brutally bloody climax: henceforth known as Missionary Ridge near Chattanooga November the next year where they took Lookout Mountain and Mission Ridge, followed by the Battle of Nashville in December 1864 against Hood before finally ending his service, retiring to Galena, Illinois — though he found time later to serve under three presidents as peace commissioner to Mexico where he negotiated an end to our small war there (it didn’t stick). In between these stints serving America abroad & at home (wherever there needed commanding), he also found himself appointed Commanding General of the Armies of the United States and performed duties both civilian and otherwise necessary enough to secure another election victory and term of office as the sitting president while overseeing Reconstruction after the civil war ended!"
969,969,http://www.freebase.com/view/en/tennessee_titans,who is the head coach of the tennessee titans?,Mike Munchak,"The current head coach of the Tennessee Titans, as of my knowledge cutoff in September 2021, was Marcus Mariota.","Mike Munchak The current head coach of the Tennessee Titans, as of my knowledge cutoff in September 2021, was Marcus Mariota."
970,970,http://www.freebase.com/view/en/fiji,what type of government does fiji have?,Military dictatorship,Fiji has a presidential system with the President as head of state and government.,Military dictatorship Fiji has a presidential system with the President as head of state and government.
971,971,http://www.freebase.com/view/en/battle_of_antietam,in what state did the bloody battle of antietam take place?,Sharpsburg,"The Battle of Antietam was fought on September 17, 1862. It took place near Sharpsburg, Maryland during the American Civil War.","Sharpsburg The Battle of Antietam was fought on September 17, 1862. It took place near Sharpsburg, Maryland during the American Civil War."
972,972,http://www.freebase.com/view/en/vietnamese_people,where did vietnamese people originate from?,Asian,"The origins of the Vietnam War are rooted in both international and domestic factors that developed over several decades prior to the outbreak of hostilities. Here is a brief summary:

1945-1946: End of World War II marks a turning point for US foreign policy as Washington begins to assume a more active role on the global stage, particularly in Asia. In this period, the French begin reasserting their colonial control over Indochina (including what is now modern-day Cambodia, Laos, and Vietnam). This leads to increasing tensions between the local communist movement and the French authorities, resulting in violent anti-colonial resistance by the Viet Minh independence organization.

Late 1940s - early 1950s: After three years of fighting, the Viet Minh decisively defeat the French at Dien Bien Phu in May 1954, effectively ending their rule in Vietnam. The Geneva Conference later divides Vietnam into two temporary zones along the 17th parallel until a national referendum can be held to reunify the country under one government. However, disagreements between North and South Vietnam delay the planned reunification process.

Mid-1950s: Amid growing fears of increased Soviet influence in Southeast Asia, President Eisenhower's administration increases economic aid and military support to Southern Vietnam in an effort to prevent a communist takeover. This eventually escalates into full-scale warfare after North Vietnam launches guerrilla attacks against South Vietnam in late 1956 and early 1957. By late 1959, Hanoi openly declares its intention to reunify Vietnam through force if necessary.

1963: Struggling with political instability, South Vietnam experiences yet another coup d'etat when Ngo Dinh Diem is assassinated in November during a Buddhist uprising. The change in leadership signals further political turmoil within the US-backed Saigon government and serves as a prelude to additional upheavals throughout the next year.

Early 1964: A US intelligence report suggests that North Vietnam may try to extend its territorial waters to include two islands important f","Asian The origins of the Vietnam War are rooted in both international and domestic factors that developed over several decades prior to the outbreak of hostilities. Here is a brief summary:

1945-1946: End of World War II marks a turning point for US foreign policy as Washington begins to assume a more active role on the global stage, particularly in Asia. In this period, the French begin reasserting their colonial control over Indochina (including what is now modern-day Cambodia, Laos, and Vietnam). This leads to increasing tensions between the local communist movement and the French authorities, resulting in violent anti-colonial resistance by the Viet Minh independence organization.

Late 1940s - early 1950s: After three years of fighting, the Viet Minh decisively defeat the French at Dien Bien Phu in May 1954, effectively ending their rule in Vietnam. The Geneva Conference later divides Vietnam into two temporary zones along the 17th parallel until a national referendum can be held to reunify the country under one government. However, disagreements between North and South Vietnam delay the planned reunification process.

Mid-1950s: Amid growing fears of increased Soviet influence in Southeast Asia, President Eisenhower's administration increases economic aid and military support to Southern Vietnam in an effort to prevent a communist takeover. This eventually escalates into full-scale warfare after North Vietnam launches guerrilla attacks against South Vietnam in late 1956 and early 1957. By late 1959, Hanoi openly declares its intention to reunify Vietnam through force if necessary.

1963: Struggling with political instability, South Vietnam experiences yet another coup d'etat when Ngo Dinh Diem is assassinated in November during a Buddhist uprising. The change in leadership signals further political turmoil within the US-backed Saigon government and serves as a prelude to additional upheavals throughout the next year.

Early 1964: A US intelligence report suggests that North Vietnam may try to extend its territorial waters to include two islands important f"
973,973,http://www.freebase.com/view/en/dan_cody,who was dan cody?,American football player,"Dan Cohn is a developer advocate for the GitLab API. He has been involved in software development for many years, and he has extensive experience working with version control systems such as Git. He is also active on social media platforms like Twitter where you can find him sharing his knowledge and thoughts about various topics related to coding, programming, and open source technologies.","American football player Dan Cohn is a developer advocate for the GitLab API. He has been involved in software development for many years, and he has extensive experience working with version control systems such as Git. He is also active on social media platforms like Twitter where you can find him sharing his knowledge and thoughts about various topics related to coding, programming, and open source technologies."
974,974,http://www.freebase.com/view/en/turkey,what language do people speak in turkey?,Arabic Language,"Turkish is the sole official language of Turkey.
**Please note that from 20th May to 31st July, I will only be available at a limited capacity due to external reasons outisde my control and can provide limited assistance during this period. You may want to contact me again starting from the 1st August for all your translation related queries or anything else in general. In such cases when it's impossible to reply immediately (for example if you ask multiple questions) please add ""URGENT"" to your question description so I am able to process them as soon as possible after my return **","Arabic Language Turkish is the sole official language of Turkey.
**Please note that from 20th May to 31st July, I will only be available at a limited capacity due to external reasons outisde my control and can provide limited assistance during this period. You may want to contact me again starting from the 1st August for all your translation related queries or anything else in general. In such cases when it's impossible to reply immediately (for example if you ask multiple questions) please add ""URGENT"" to your question description so I am able to process them as soon as possible after my return **"
975,975,http://www.freebase.com/view/en/benjamin_franklin,what are all the inventions benjamin franklin made?,Lightning rod,"Benjamin Franklin was a prolific inventor, scientist and writer who made many important contributions to American society. Here is a list of some of his most well known inventions:

- Franklin Stove (also called ""Franklin Heater"") which improved household heating efficiency greatly over other means available at the time by funneling warm air from a fireplace into a breeze-carrying chimney.
- The lightning rod to protect buildings from damage due to lightning strikes by carrying their electrical charge harmlessly away in Sir Isaac Newton's laws of thermodynamics far more efficiently than the then standard method of using tall points on roofs with wires connected under the eaves.","Lightning rod Benjamin Franklin was a prolific inventor, scientist and writer who made many important contributions to American society. Here is a list of some of his most well known inventions:

- Franklin Stove (also called ""Franklin Heater"") which improved household heating efficiency greatly over other means available at the time by funneling warm air from a fireplace into a breeze-carrying chimney.
- The lightning rod to protect buildings from damage due to lightning strikes by carrying their electrical charge harmlessly away in Sir Isaac Newton's laws of thermodynamics far more efficiently than the then standard method of using tall points on roofs with wires connected under the eaves."
976,976,http://www.freebase.com/view/en/joan_crawford,what was wrong with joan crawford?,Myocardial infarction,"She had a difficult time in Hollywood for various reasons. One is that she didn't really fit into the studio system, which tended to prize certain physical types and personalities above others. That wasn't her strong suit -- not in looks or personality -- but ironically her work ethic more than made up for those shortcomings: too much ambition & drive were seen as negative qualities among many movie stars of that generation, including Bette Davis (also known for an ""attitude"")!","Myocardial infarction She had a difficult time in Hollywood for various reasons. One is that she didn't really fit into the studio system, which tended to prize certain physical types and personalities above others. That wasn't her strong suit -- not in looks or personality -- but ironically her work ethic more than made up for those shortcomings: too much ambition & drive were seen as negative qualities among many movie stars of that generation, including Bette Davis (also known for an ""attitude"")!"
977,977,http://www.freebase.com/view/en/debbie_dingle,who does debbie dingle go out with?,Eli Dingle,"Debbie Dingle's love life in the British soap opera ""Emmerdale"" has been a focus of several storylines throughout her time on the show. She had relationships with multiple characters including, but not limited to:
- Tom King, Jasmine Thomas and Alex King","Eli Dingle Debbie Dingle's love life in the British soap opera ""Emmerdale"" has been a focus of several storylines throughout her time on the show. She had relationships with multiple characters including, but not limited to:
- Tom King, Jasmine Thomas and Alex King"
978,978,http://www.freebase.com/view/en/anton_van_leeuwenhoek,what country was anton van leeuwenhoek from?,Dutch Republic,Antoni van Leeuwenhoek was born in the Netherlands.,Dutch Republic Antoni van Leeuwenhoek was born in the Netherlands.
979,979,http://www.freebase.com/view/en/france,what is the time in france if it is 8am in scotland?,Central European Time,"If it's 8 am in Scotland, and assuming both places are on standard time (not daylight saving), then it would be:
* In France it is <mask> pm
* USA east coast it is <mask> am
* West coast usa it is <mask> am","Central European Time If it's 8 am in Scotland, and assuming both places are on standard time (not daylight saving), then it would be:
* In France it is <mask> pm
* USA east coast it is <mask> am
* West coast usa it is <mask> am"
980,980,http://www.freebase.com/view/en/todd_manning,who played todd manning on one life to live?,Blair Cramer,"I'm sorry, can you please rephrase or provide more context for your question? It is not clear what you are asking.","Blair Cramer I'm sorry, can you please rephrase or provide more context for your question? It is not clear what you are asking."
981,981,http://www.freebase.com/view/en/latin_america,what does latin america consist of?,Bolivia,Latin America is a region comprising countries in the Americas where Romance languages are spoken.,Bolivia Latin America is a region comprising countries in the Americas where Romance languages are spoken.
982,982,http://www.freebase.com/view/en/st_louis_cardinals,who is the manager of the st louis cardinals?,Mike Matheny,"As of my knowledge cutoff date, Mike Shildt was the manager for St. Louis Cardinals in 2021 season

Is there anything else I can help you with?","Mike Matheny As of my knowledge cutoff date, Mike Shildt was the manager for St. Louis Cardinals in 2021 season

Is there anything else I can help you with?"
983,983,http://www.freebase.com/view/en/oregon,where in oregon was stand by me filmed?,Mahonia aquifolium,"The movie ""Stand By Me"" was actually filmed in several different locations, including Oregon and Washington states. Some of the most iconic scenes were filmed near the railroad tracks outside Brownsville, Oregon and other nearby areas around those states","Mahonia aquifolium The movie ""Stand By Me"" was actually filmed in several different locations, including Oregon and Washington states. Some of the most iconic scenes were filmed near the railroad tracks outside Brownsville, Oregon and other nearby areas around those states"
984,984,http://www.freebase.com/view/en/vasco_da_gama,what country vasco da gama sail for?,Portugal,I can't answer that question. You would have to specify which particular ship or ships you are referring to in order for me to be able to provide an accurate response.,Portugal I can't answer that question. You would have to specify which particular ship or ships you are referring to in order for me to be able to provide an accurate response.
985,985,http://www.freebase.com/view/en/harlem,what did writers of the harlem renaissance write about?,"William Henry Draper, Jr.","The Harlem Renaissance was a cultural movement that took place in the 1920s and early 1930s, primarily in the African American community of Harlem in New York City. During this time, there was an explosion of creativity in various forms of art, including literature, music, drama, and visual arts.

Writers of the Harlem Renaissance wrote on a wide range of subjects and themes related to black experiences and culture, such as:

* Identity: Many writers explored themes of identity, both individual and collective, and the complex ways in which race, class, gender, and sexuality intersect. They often wrote about their experiences growing up black in America, the struggles they faced because of systemic racism and discrimination, and their efforts to assert their unique identities within larger white-dominated society.
* Politics: Writers also addressed political issues affecting the black community, including civil rights, segregation, and discrimination. They used poetry, prose, essays, and plays to critique social structures and institutions that perpetuated inequality and oppression, as well as to imagine visions for a more equitable future.
* Urban life: Since many artists and writers during this era were living and working in urban environments like Harlem, much of the work produced during this period focused on urban life, including its joys and challenges. This included depictions of everyday people and neighborhoods, as well as stories and poems centered around issues like crime, poverty, housing shortages, labor organizing, and other pressing concerns facing city residents at that time.
* Arts and letters: Literary works by black authors from the Harlem Renaissance often include detailed descriptions of music, dance, theater, painting, sculpture, photography and film - the whole gamut of modernist art forms being developed across a wide array of media at the same time these texts are being created. These pieces showcase the richness and vibrancy of Black expression and help explain why so many different types","William Henry Draper, Jr. The Harlem Renaissance was a cultural movement that took place in the 1920s and early 1930s, primarily in the African American community of Harlem in New York City. During this time, there was an explosion of creativity in various forms of art, including literature, music, drama, and visual arts.

Writers of the Harlem Renaissance wrote on a wide range of subjects and themes related to black experiences and culture, such as:

* Identity: Many writers explored themes of identity, both individual and collective, and the complex ways in which race, class, gender, and sexuality intersect. They often wrote about their experiences growing up black in America, the struggles they faced because of systemic racism and discrimination, and their efforts to assert their unique identities within larger white-dominated society.
* Politics: Writers also addressed political issues affecting the black community, including civil rights, segregation, and discrimination. They used poetry, prose, essays, and plays to critique social structures and institutions that perpetuated inequality and oppression, as well as to imagine visions for a more equitable future.
* Urban life: Since many artists and writers during this era were living and working in urban environments like Harlem, much of the work produced during this period focused on urban life, including its joys and challenges. This included depictions of everyday people and neighborhoods, as well as stories and poems centered around issues like crime, poverty, housing shortages, labor organizing, and other pressing concerns facing city residents at that time.
* Arts and letters: Literary works by black authors from the Harlem Renaissance often include detailed descriptions of music, dance, theater, painting, sculpture, photography and film - the whole gamut of modernist art forms being developed across a wide array of media at the same time these texts are being created. These pieces showcase the richness and vibrancy of Black expression and help explain why so many different types"
986,986,http://www.freebase.com/view/en/jamaica,what is the language they speak in jamaica?,Jamaican Creole English Language,"The official language of Jamaica is English. However, many people also speak a patois called Mekkormen which is derived from African languages brought by slaves to Jilda from different countries","Jamaican Creole English Language The official language of Jamaica is English. However, many people also speak a patois called Mekkormen which is derived from African languages brought by slaves to Jilda from different countries"
987,987,http://www.freebase.com/view/en/duluth,where to live in duluth ga?,You'll Like My Mother,"Yes, Duluth is part of Gwinnett County and falls under the 7th congressional district. However, you can confirm this information by checking the GIS maps provided on their website or contacting them directly for more details.","You'll Like My Mother Yes, Duluth is part of Gwinnett County and falls under the 7th congressional district. However, you can confirm this information by checking the GIS maps provided on their website or contacting them directly for more details."
988,988,http://www.freebase.com/view/en/austraila,what is the currency in australia 2011?,Australian dollar,The Australian Dollar (AUD).,Australian dollar The Australian Dollar (AUD).
